alpha,acc_train,acc_shift,behaviour
1000.0,0.494,0.474,Collapsed (No Features)
615.8482110660267,0.494,0.474,Collapsed (No Features)
379.26901907322497,0.494,0.474,Collapsed (No Features)
233.57214690901213,0.994,0.086,Blind (Uses Shortcut Only)
143.8449888287663,0.994,0.086,Blind (Uses Shortcut Only)
88.58667904100828,0.994,0.086,Blind (Uses Shortcut Only)
54.5559478116852,0.994,0.086,Blind (Uses Shortcut Only)
33.59818286283783,0.994,0.086,Blind (Uses Shortcut Only)
20.6913808111479,0.994,0.086,Blind (Uses Shortcut Only)
12.74274985703134,0.994,0.086,Blind (Uses Shortcut Only)
7.847599703514614,0.994,0.086,Blind (Uses Shortcut Only)
4.832930238571752,0.994,0.086,Blind (Uses Shortcut Only)
2.9763514416313193,0.994,0.086,Blind (Uses Shortcut Only)
1.8329807108324374,0.994,0.086,Blind (Uses Shortcut Only)
1.1288378916846895,0.994,0.086,Blind (Uses Shortcut Only)
0.6951927961775605,0.994,0.086,Mixed (Core Dominant)
0.4281332398719396,1.0,1.0,Mixed (Core Dominant)
0.2636650898730361,1.0,1.0,Mixed (Core Dominant)
0.16237767391887226,1.0,1.0,Mixed (Core Dominant)
0.1,1.0,1.0,Mixed (Core Dominant)
