alpha,seed,error_audited,error_unaudited,error_bulk,error_tail,audits_to_bulk,audits_to_tail,bulk_size,tail_size,tree_leaves
0.001,0,0.0,0.0,0.0,0.0,55,45,1008,992,6
0.001,1,0.0,0.0,0.0,0.0,41,59,1014,986,6
0.001,2,0.0,0.0,0.0,0.0,50,50,1005,995,6
0.001,3,0.0,0.0,0.0,0.0,54,46,973,1027,6
0.001,4,0.0,0.0,0.0,0.0,51,49,1003,997,6
0.001,5,0.0,0.0,0.0,0.0,55,45,1021,979,6
0.001,6,0.0,0.0,0.0,0.0,45,55,1004,996,6
0.001,7,0.0,0.0,0.0,0.0,47,53,1023,977,6
0.001,8,0.0,0.0,0.0,0.0,54,46,999,1001,6
0.001,9,0.0,0.0,0.0,0.0,63,37,995,1005,6
0.01,0,0.0,0.0,0.0,0.0,55,45,1008,992,6
0.01,1,0.0,0.0,0.0,0.0,41,59,1014,986,6
0.01,2,0.0,0.0,0.0,0.0,50,50,1005,995,6
0.01,3,0.0,0.0,0.0,0.0,54,46,973,1027,6
0.01,4,0.0,0.0,0.0,0.0,51,49,1003,997,6
0.01,5,0.0,0.0,0.0,0.0,55,45,1021,979,6
0.01,6,0.0,0.0,0.0,0.0,45,55,1004,996,6
0.01,7,0.0,0.0,0.0,0.0,47,53,1023,977,6
0.01,8,0.0,0.0,0.0,0.0,54,46,999,1001,6
0.01,9,0.0,0.0,0.0,0.0,63,37,995,1005,6
0.1,0,0.26,0.2563157894736842,0.2619047619047619,0.25100806451612906,50,50,1008,992,2
0.1,1,0.26,0.23421052631578948,0.23865877712031558,0.23225152129817445,52,48,1014,986,2
0.1,2,0.16,0.2363157894736842,0.23880597014925373,0.22613065326633167,47,53,1005,995,2
0.1,3,0.2,0.2531578947368421,0.25488180883864336,0.24634858812074,57,43,973,1027,2
0.1,4,0.35,0.2431578947368421,0.226321036889332,0.2708124373119358,52,48,1003,997,2
0.1,5,0.29,0.23105263157894737,0.23114593535749264,0.236976506639428,47,53,1021,979,2
0.1,6,0.22,0.24263157894736842,0.23705179282868527,0.2459839357429719,39,61,1004,996,2
0.1,7,0.21,0.23157894736842105,0.21994134897360704,0.24155578300921188,44,56,1023,977,2
0.1,8,0.31,0.24157894736842106,0.25125125125125125,0.23876123876123875,56,44,999,1001,2
0.1,9,0.3,0.24736842105263157,0.24522613065326634,0.25472636815920396,49,51,995,1005,2
1.0,0,0.49,0.4968421052631579,0.7380952380952381,0.25100806451612906,48,52,1008,992,1
1.0,1,0.51,0.5,0.7613412228796844,0.23225152129817445,47,53,1014,986,1
1.0,2,0.56,0.5021052631578947,0.23880597014925373,0.7738693467336684,50,50,1005,995,1
1.0,3,0.48,0.5126315789473684,0.25488180883864336,0.75365141187926,55,45,973,1027,1
1.0,4,0.52,0.5231578947368422,0.773678963110668,0.2708124373119358,47,53,1003,997,1
1.0,5,0.53,0.5073684210526316,0.7688540646425074,0.236976506639428,47,53,1021,979,1
1.0,6,0.51,0.5052631578947369,0.7629482071713147,0.2459839357429719,37,63,1004,996,1
1.0,7,0.51,0.5173684210526316,0.7800586510263929,0.24155578300921188,45,55,1023,977,1
1.0,8,0.41,0.511578947368421,0.25125125125125125,0.7612387612387612,53,47,999,1001,1
1.0,9,0.54,0.501578947368421,0.7547738693467336,0.25472636815920396,50,50,995,1005,1
10.0,0,0.49,0.4968421052631579,0.7380952380952381,0.25100806451612906,48,52,1008,992,1
10.0,1,0.51,0.5,0.7613412228796844,0.23225152129817445,47,53,1014,986,1
10.0,2,0.56,0.5021052631578947,0.23880597014925373,0.7738693467336684,50,50,1005,995,1
10.0,3,0.48,0.5126315789473684,0.25488180883864336,0.75365141187926,55,45,973,1027,1
10.0,4,0.52,0.5231578947368422,0.773678963110668,0.2708124373119358,47,53,1003,997,1
10.0,5,0.53,0.5073684210526316,0.7688540646425074,0.236976506639428,47,53,1021,979,1
10.0,6,0.51,0.5052631578947369,0.7629482071713147,0.2459839357429719,37,63,1004,996,1
10.0,7,0.51,0.5173684210526316,0.7800586510263929,0.24155578300921188,45,55,1023,977,1
10.0,8,0.41,0.511578947368421,0.25125125125125125,0.7612387612387612,53,47,999,1001,1
10.0,9,0.54,0.501578947368421,0.7547738693467336,0.25472636815920396,50,50,995,1005,1
