alpha,seed,obs_bulk_mean,obs_tail_mean,obs_gradient,audits_bulk,audits_tail,allocation_ratio,error_base_tail,error_corr_tail,error_base_bulk,error_corr_bulk,delta_tail,delta_bulk,effectiveness,tail_size,bulk_size,tree_leaves
0.001,0,1.0,1.0,0.0,35,15,1.2822925577414892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501,1499,21
0.001,1,0.9858630952380952,0.9633449644225507,0.022518130815544546,38,12,1.0453720508165398,0.03879310344827586,0.023706896551724137,0.015625,0.009114583333333334,0.015086206896551727,0.006510416666666666,2.3172413437175186,464,1536,84
0.001,2,0.9796011710162557,0.9481023988214289,0.031498772194826774,43,7,0.5183419285783045,0.0502092050209205,0.0502092050209205,0.028252299605781867,0.028252299605781867,0.0,0.0,0.0,478,1522,89
0.001,3,0.9881159851489772,0.9632044442894832,0.024911540859494097,37,13,0.9948224086153887,0.07279693486590039,0.0,0.023004059539918808,0.0,0.07279693486590039,0.023004059539918808,3.1645255665907026,522,1478,44
0.001,4,0.9828765307191467,0.944517839108789,0.038358691610357765,31,19,1.7535184954537593,0.052123552123552123,0.04826254826254826,0.022267206477732792,0.020917678812415654,0.0038610038610038602,0.0013495276653171379,2.8610036490034925,518,1482,44
0.001,5,0.9912109375,0.9776242393509128,0.013586698149087195,36,14,1.287356321838887,0.023706896551724137,0.0,0.01171875,0.0,0.023706896551724137,0.01171875,2.0229884884842915,464,1536,39
0.001,6,1.0,1.0,0.0,34,16,1.3358925143952274,0.0,0.04222648752399232,0.0,0.016903313049357674,-0.04222648752399232,-0.016903313049357674,2.4981190166982583,521,1479,37
0.001,7,0.9832826421021482,0.9585398203074667,0.02474282179468157,31,19,1.8289422953345476,0.04780876494023904,0.037848605577689244,0.025367156208277702,0.014018691588785047,0.009960159362549799,0.011348464619492656,0.8776657996250156,502,1498,62
0.001,8,0.9759475092808427,0.9518406771222305,0.0241068321586122,30,20,1.9223300970871346,0.04854368932038835,0.04854368932038835,0.026936026936026935,0.026936026936026935,0.0,0.0,0.0,515,1485,55
0.001,9,0.9876909101389494,0.9532621411002208,0.0344287690387286,32,18,1.6740805168983874,0.05168986083499006,0.0437375745526839,0.01736806947227789,0.01603206412825651,0.00795228628230616,0.0013360053440213786,5.952285836777555,503,1497,63
0.01,0,0.957474088416668,0.8843289031692714,0.07314518524739666,32,18,1.6830089820357046,0.10778443113772455,0.10778443113772455,0.03935957304869913,0.03935957304869913,0.0,0.0,0.0,501,1499,10
0.01,1,0.8442152503293808,0.5035573122529645,0.3406579380764163,35,15,1.4187192118224468,0.5064655172413793,0.5064655172413793,0.15755208333333334,0.15755208333333334,0.0,0.0,0.0,464,1536,2
0.01,2,0.8431307636981856,0.5067045916294192,0.33642617206876646,36,14,1.2382612738259497,0.5292887029288703,0.5292887029288703,0.15768725361366623,0.15768725361366623,0.0,0.0,0.0,478,1522,2
0.01,3,0.8806677305884796,0.6409778755900749,0.23968985499840467,31,19,1.7353849956739908,0.36590038314176243,0.0,0.12855209742895804,0.0,0.36590038314176243,0.12855209742895804,2.8463198203307307,522,1478,7
0.01,4,0.886110144936674,0.622999117194102,0.263111027742572,36,14,1.112612612612473,0.41312741312741313,0.305019305019305,0.13157894736842105,0.07894736842105263,0.10810810810810811,0.05263157894736842,2.0540540501513513,518,1482,7
0.01,5,0.9171515655306179,0.7578825923696505,0.15926897316096744,36,14,1.287356321838887,0.2478448275862069,0.2478448275862069,0.07942708333333333,0.07942708333333333,0.0,0.0,0.0,464,1536,6
0.01,6,0.9140903045568359,0.7570636109160924,0.1570266936407435,30,20,1.8925143953932386,0.2591170825335892,0.2591170825335892,0.07910750507099391,0.07910750507099391,0.0,0.0,0.0,521,1479,6
0.01,7,0.8781529464136697,0.6383342584995321,0.23981868791413763,30,20,1.9893758300130167,0.3605577689243028,0.3605577689243028,0.130173564753004,0.130173564753004,0.0,0.0,0.0,502,1498,7
0.01,8,0.8736837956877999,0.6528980704980156,0.22078572518978423,31,19,1.7673034763543012,0.3650485436893204,0.3650485436893204,0.1420875420875421,0.1420875420875421,0.0,0.0,0.0,515,1485,7
0.01,9,0.8815460568248713,0.6437524680101525,0.2377935888147188,29,21,2.155138136696775,0.36779324055666,0.36779324055666,0.12692050768203073,0.12692050768203073,0.0,0.0,0.0,503,1497,7
0.1,0,0.839116744496331,0.5128000000000001,0.32631674449633086,34,16,1.4080075143828117,0.49700598802395207,0.49700598802395207,0.15410273515677117,0.15410273515677117,0.0,0.0,0.0,501,1499,2
0.1,1,0.8442152503293808,0.5035573122529645,0.3406579380764163,35,15,1.4187192118224468,0.5064655172413793,0.5064655172413793,0.15755208333333334,0.15755208333333334,0.0,0.0,0.0,464,1536,2
0.1,2,0.8431307636981856,0.5067045916294192,0.33642617206876646,36,14,1.2382612738259497,0.5292887029288703,0.5292887029288703,0.15768725361366623,0.15768725361366623,0.0,0.0,0.0,478,1522,2
0.1,3,0.832406707084825,0.5016038492381716,0.3308028578466534,33,17,1.4586090792985535,0.4846743295019157,0.4846743295019157,0.16847090663058187,0.16847090663058187,0.0,0.0,0.0,522,1478,2
0.1,4,0.8402777777777777,0.5099206349206348,0.3303571428571429,30,20,1.9073359073356675,0.5212355212355212,0.5212355212355212,0.17273954116059378,0.17273954116059378,0.0,0.0,0.0,518,1482,2
0.1,5,0.8420922307279076,0.5149073327961321,0.3271848979317755,37,13,1.1630941286111953,0.5,0.5,0.171875,0.171875,0.0,0.0,0.0,464,1536,2
0.1,6,0.8343968729819722,0.5140336808340018,0.3203631921479704,30,20,1.8925143953932386,0.47024952015355087,0.47024952015355087,0.17985125084516565,0.17985125084516565,0.0,0.0,0.0,521,1479,2
0.1,7,0.8427054925261064,0.5007898894154819,0.3419156031106245,32,18,1.678535856573483,0.4701195219123506,0.5298804780876494,0.16488651535380508,0.15020026702269693,-0.05976095617529875,0.014686248331108154,-4.069177806410665,502,1498,2
0.1,8,0.8325176076383807,0.5132850241545894,0.31923258348379124,32,18,1.6219660194172698,0.5359223300970873,0.5359223300970873,0.16902356902356902,0.16902356902356902,0.0,0.0,0.0,515,1485,2
0.1,9,0.84007697303155,0.5001988071570577,0.3398781658744924,29,21,2.155138136696775,0.49105367793240556,0.49105367793240556,0.1629926519706079,0.1629926519706079,0.0,0.0,0.0,503,1497,2
1.0,0,0.7435999999999999,0.7436000000000001,-2.220446049250313e-16,35,15,1.2822925577414892,0.5029940119760479,0.5029940119760479,0.1761174116077385,0.1761174116077385,0.0,0.0,0.0,501,1499,1
1.0,1,0.7488,0.7487999999999999,1.1102230246251565e-16,34,16,1.557809330628569,0.5064655172413793,0.5064655172413793,0.15755208333333334,0.15755208333333334,0.0,0.0,0.0,464,1536,1
1.0,2,0.7572,0.7571999999999998,2.220446049250313e-16,38,12,1.0055053952872375,0.5292887029288703,0.5292887029288703,0.15768725361366623,0.15768725361366623,0.0,0.0,0.0,478,1522,1
1.0,3,0.7498,0.7498000000000002,-2.220446049250313e-16,41,9,0.6215306980655243,0.5153256704980843,0.5153256704980843,0.16779431664411368,0.16779431664411368,0.0,0.0,0.0,522,1478,1
1.0,4,0.7430000000000001,0.7430000000000002,-1.1102230246251565e-16,36,14,1.112612612612473,0.47876447876447875,0.47876447876447875,0.15317139001349528,0.15317139001349528,0.0,0.0,0.0,518,1482,1
1.0,5,0.7443999999999998,0.7444000000000001,-2.220446049250313e-16,32,18,1.8620689655169615,0.5,0.5,0.15364583333333334,0.15364583333333334,0.0,0.0,0.0,464,1536,1
1.0,6,0.7436,0.7436,0.0,34,16,1.3358925143952274,0.5297504798464492,0.5297504798464492,0.16091954022988506,0.16091954022988506,0.0,0.0,0.0,521,1479,1
1.0,7,0.7463999999999996,0.7463999999999998,-2.220446049250313e-16,33,17,1.5372449595555129,0.5298804780876494,0.5298804780876494,0.15020026702269693,0.15020026702269693,0.0,0.0,0.0,502,1498,1
1.0,8,0.7582000000000001,0.7582000000000001,0.0,32,18,1.6219660194172698,0.5359223300970873,0.5359223300970873,0.16902356902356902,0.16902356902356902,0.0,0.0,0.0,515,1485,1
1.0,9,0.7485999999999998,0.7485999999999998,0.0,36,14,1.1573889993371567,0.49105367793240556,0.49105367793240556,0.1629926519706079,0.1629926519706079,0.0,0.0,0.0,503,1497,1
10.0,0,0.7435999999999999,0.7436000000000001,-2.220446049250313e-16,35,15,1.2822925577414892,0.5029940119760479,0.5029940119760479,0.1761174116077385,0.1761174116077385,0.0,0.0,0.0,501,1499,1
10.0,1,0.7488,0.7487999999999999,1.1102230246251565e-16,34,16,1.557809330628569,0.5064655172413793,0.5064655172413793,0.15755208333333334,0.15755208333333334,0.0,0.0,0.0,464,1536,1
10.0,2,0.7572,0.7571999999999998,2.220446049250313e-16,38,12,1.0055053952872375,0.5292887029288703,0.5292887029288703,0.15768725361366623,0.15768725361366623,0.0,0.0,0.0,478,1522,1
10.0,3,0.7498,0.7498000000000002,-2.220446049250313e-16,41,9,0.6215306980655243,0.5153256704980843,0.5153256704980843,0.16779431664411368,0.16779431664411368,0.0,0.0,0.0,522,1478,1
10.0,4,0.7430000000000001,0.7430000000000002,-1.1102230246251565e-16,36,14,1.112612612612473,0.47876447876447875,0.47876447876447875,0.15317139001349528,0.15317139001349528,0.0,0.0,0.0,518,1482,1
10.0,5,0.7443999999999998,0.7444000000000001,-2.220446049250313e-16,32,18,1.8620689655169615,0.5,0.5,0.15364583333333334,0.15364583333333334,0.0,0.0,0.0,464,1536,1
10.0,6,0.7436,0.7436,0.0,34,16,1.3358925143952274,0.5297504798464492,0.5297504798464492,0.16091954022988506,0.16091954022988506,0.0,0.0,0.0,521,1479,1
10.0,7,0.7463999999999996,0.7463999999999998,-2.220446049250313e-16,33,17,1.5372449595555129,0.5298804780876494,0.5298804780876494,0.15020026702269693,0.15020026702269693,0.0,0.0,0.0,502,1498,1
10.0,8,0.7582000000000001,0.7582000000000001,0.0,32,18,1.6219660194172698,0.5359223300970873,0.5359223300970873,0.16902356902356902,0.16902356902356902,0.0,0.0,0.0,515,1485,1
10.0,9,0.7485999999999998,0.7485999999999998,0.0,36,14,1.1573889993371567,0.49105367793240556,0.49105367793240556,0.1629926519706079,0.1629926519706079,0.0,0.0,0.0,503,1497,1
